Year,District,Code,Location,type_of_crime,total
2012,Pankow,30101,Buch,Damage,191
2012,Pankow,30101,Buch,Graffiti,35
2012,Pankow,30101,Buch,Drugs,31
2012,Pankow,30101,Buch,Local,323
2012,Pankow,30202,Blankenfelde/Niederschönhausen,Robbery,12
2012,Pankow,30202,Blankenfelde/Niederschönhausen,Street_robbery,4
2012,Pankow,30202,Blankenfelde/Niederschönhausen,Injury,136
2012,Pankow,30202,Blankenfelde/Niederschönhausen,Agg_assault,27
2012,Pankow,30202,Blankenfelde/Niederschönhausen,Threat,54
2012,Pankow,30202,Blankenfelde/Niederschönhausen,Theft,782
2012,Pankow,30202,Blankenfelde/Niederschönhausen,Car,37
2012,Pankow,30202,Blankenfelde/Niederschönhausen,From_car,179
2012,Pankow,30202,Blankenfelde/Niederschönhausen,Bike,148
2012,Pankow,30202,Blankenfelde/Niederschönhausen,Burglary,69
2012,Pankow,30202,Blankenfelde/Niederschönhausen,Fire,26
2012,Pankow,30202,Blankenfelde/Niederschönhausen,Arson,14
2012,Pankow,30202,Blankenfelde/Niederschönhausen,Damage,215
2012,Pankow,30202,Blankenfelde/Niederschönhausen,Graffiti,31
2012,Pankow,30202,Blankenfelde/Niederschönhausen,Drugs,11
2012,Pankow,30202,Blankenfelde/Niederschönhausen,Local,337
2012,Pankow,30203,Buchholz,Robbery,9
2012,Pankow,30203,Buchholz,Street_robbery,3
2012,Pankow,30203,Buchholz,Injury,71
2012,Pankow,30203,Buchholz,Agg_assault,13
2012,Pankow,30203,Buchholz,Threat,38
2012,Pankow,30203,Buchholz,Theft,456
2012,Pankow,30203,Buchholz,Car,21
2012,Pankow,30203,Buchholz,From_car,69
2012,Pankow,30203,Buchholz,Bike,56
2012,Pankow,30203,Buchholz,Burglary,38
2012,Pankow,30203,Buchholz,Fire,10
2012,Pankow,30203,Buchholz,Arson,1
2012,Pankow,30203,Buchholz,Damage,114
2012,Pankow,30203,Buchholz,Graffiti,7
2012,Pankow,30203,Buchholz,Drugs,16
2012,Pankow,30203,Buchholz,Local,182
2012,Pankow,30304,Karow,Robbery,3
2012,Pankow,30304,Karow,Street_robbery,1
2012,Pankow,30304,Karow,Injury,44
2012,Pankow,30304,Karow,Agg_assault,6
2012,Pankow,30304,Karow,Threat,32
2012,Pankow,30304,Karow,Theft,481
2012,Pankow,30304,Karow,Car,11
2012,Pankow,30304,Karow,From_car,85
2012,Pankow,30304,Karow,Bike,183
2012,Pankow,30304,Karow,Burglary,19
2012,Pankow,30304,Karow,Fire,10
2012,Pankow,30304,Karow,Arson,6
2012,Pankow,30304,Karow,Damage,118
2012,Pankow,30304,Karow,Graffiti,24
2012,Pankow,30304,Karow,Drugs,4
2012,Pankow,30304,Karow,Local,151
2012,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Robbery,7
2012,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Street_robbery,1
2012,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Injury,74
2012,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Agg_assault,9
2012,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Threat,21
2012,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Theft,898
2012,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Car,14
2012,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,From_car,160
2012,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Bike,149
2012,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Burglary,55
2012,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Fire,12
2012,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Arson,4
2012,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Damage,154
2012,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Graffiti,9
2012,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Drugs,16
2012,Pankow,30307,Blankenburg/Heinersdorf/Märchenland,Local,161
2012,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Robbery,23
2012,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Street_robbery,10
2012,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Injury,79
2012,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Agg_assault,24
2012,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Threat,26
2012,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Theft,599
2012,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Car,17
2012,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,From_car,138
2012,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Bike,111
2012,Pankow,30405,Schönholz/Wilhelmsruh/Rosenthal,Burglary,82
